_id,_phase,_navigationTitle,_masterNoticeRewardId,_displayableTime,_displayableExpireTime,_masterReleaseLabelId
3,0,April 2023: Unraveled mystery reward CP,250000003,0,0,223041701
4,0,April 2023: Distribution CP,250000004,0,0,223042801
5,0,May 2023: Golden Week CP,250000005,0,0,223050105
6,0,,250000006,0,0,223052604
7,0,,250000007,0,0,223062701
8,0,Thank you for your cooperation during maintenance,250000008,0,0,223061509
9,0,Apology for bugs,250000009,0,0,223061510
10,0,Thanksgiving stage present,250000010,0,0,223062603
11,0,Thanksgiving celebration present,250000011,0,0,223063009
12,0,Present,250000012,0,0,223072602
13,0,Advent Calendar 12/15 Present,250000013,0,0,223121501
14,0,Advent Calendar 12/16 Present,250000014,0,0,223121603
15,0,Advent Calendar 12/17 Present,250000015,0,0,223121701
16,0,Advent Calendar 12/18 Present,250000016,0,0,223121801
17,0,Advent Calendar 12/19 Present,250000017,0,0,223121903
18,0,Advent Calendar 12/20 Present,250000018,0,0,223122001
19,0,Advent Calendar 12/21 Present,250000019,0,0,223122101
20,0,Advent Calendar 12/22 Present,250000020,0,0,223122201
21,0,Advent Calendar 12/23 Present,250000021,0,0,223122301
22,0,Advent Calendar 12/24 Present,250000022,0,0,223122401
23,0,IJIGEN FES THE IDOLM@STER★︎♥LOVELIVE! Commemorative Present,250000023,0,0,223120805
24,0,IJIGEN FES THE IDOLM@STER★︎♥LOVELIVE! Commemorative Present,250000024,0,0,223120905
25,0,IJIGEN FES THE IDOLM@STER★︎♥LOVELIVE! Commemorative Present,250000025,0,0,223121002
26,0,It's New Year's! Miracle Campaign Present,250000026,0,0,224010110
27,0,It's New Year's! Miracle Campaign Present,250000027,0,0,224010101
28,0,It's New Year's! Miracle Campaign Present,250000028,0,0,224010201
29,0,It's New Year's! Miracle Campaign Present,250000029,0,0,224010301
30,0,It's New Year's! Miracle Campaign Present,250000030,0,0,224010401
31,0,It's New Year's! Miracle Campaign Present,250000031,0,0,224010501
32,0,It's New Year's! Miracle Campaign Present,250000032,0,0,224010402
33,0,SIF 2 Please Santa! Campaign Present,250000033,0,0,223122503
34,0,ハッピーバレンタインデーキャンペーンのプレゼント,250000034,0,0,224021407
35,0,カラフルスプリングキャンペーンのプレゼント,250000035,0,0,224031402
36,0,ラブライブ！TVアニメ放送10周年記念 LoveLive! Orchestra Concert,250000036,0,0,224033003
