_masterEventId,_targetId,_pointBonusRatioList,_eventBonusAmountList,_masterReleaseLabelId
127,30070013,"1000,2000,0,0,0","1,2,0,0,0",223111504
127,30050013,"1000,2000,0,0,0","1,2,0,0,0",223111504
127,30040012,"1000,2000,0,0,0","1,2,0,0,0",223111504
127,20070015,"0,0,0,0,0","1,2,0,0,0",223111504
127,20040015,"0,0,0,0,0","1,2,0,0,0",223111504
127,20030015,"0,0,0,0,0","1,2,0,0,0",223111504
135,10030018,"1000,2000,0,0,0","1,2,0,0,0",224011504
135,10060017,"1000,2000,0,0,0","1,2,0,0,0",224011504
135,10050018,"1000,2000,0,0,0","1,2,0,0,0",224011504
135,40010014,"0,0,0,0,0","1,2,0,0,0",224011504
135,40020012,"0,0,0,0,0","1,2,0,0,0",224011504
135,40080011,"0,0,0,0,0","1,2,0,0,0",224011504
139,20020016,"1000,2000,0,0,0","1,2,0,0,0",224021404
139,20060016,"1000,2000,0,0,0","1,2,0,0,0",224021404
139,20080016,"1000,2000,0,0,0","1,2,0,0,0",224021404
139,10030018,"0,0,0,0,0","1,2,0,0,0",224021404
139,10060017,"0,0,0,0,0","1,2,0,0,0",224021404
139,10050018,"0,0,0,0,0","1,2,0,0,0",224021404
