_masterEventId,_groupId,_number,_highRank,_lowRank,_masterEventMemberRankingRewardId,_masterReleaseLabelId
101,1001,1,1,100,290101001,223041903
101,1002,1,1,100,290101002,223041903
101,1003,1,1,100,290101003,223041903
101,1004,1,1,100,290101004,223041903
101,1005,1,1,100,290101005,223041903
101,1006,1,1,100,290101006,223041903
101,1007,1,1,100,290101007,223041903
101,1008,1,1,100,290101008,223041903
101,1009,1,1,100,290101009,223041903
101,2001,1,1,100,290101010,223041903
101,2002,1,1,100,290101011,223041903
101,2003,1,1,100,290101012,223041903
101,2004,1,1,100,290101013,223041903
101,2005,1,1,100,290101014,223041903
101,2006,1,1,100,290101015,223041903
101,2007,1,1,100,290101016,223041903
101,2008,1,1,100,290101017,223041903
101,2009,1,1,100,290101018,223041903
101,3001,1,1,100,290101019,223041903
101,3002,1,1,100,290101020,223041903
101,3003,1,1,100,290101021,223041903
101,3004,1,1,100,290101022,223041903
101,3005,1,1,100,290101023,223041903
101,3006,1,1,100,290101024,223041903
101,3007,1,1,100,290101025,223041903
101,3008,1,1,100,290101026,223041903
101,3009,1,1,100,290101027,223041903
101,3010,1,1,100,290101028,223041903
101,3011,1,1,100,290101029,223041903
101,3012,1,1,100,290101030,223041903
101,4001,1,1,100,290101031,223041903
101,4002,1,1,100,290101032,223041903
101,4003,1,1,100,290101033,223041903
101,4004,1,1,100,290101034,223041903
101,4005,1,1,100,290101035,223041903
101,4006,1,1,100,290101036,223041903
101,4007,1,1,100,290101037,223041903
101,4008,1,1,100,290101038,223041903
101,4009,1,1,100,290101039,223041903
101,1001,2,101,10000,290101040,223041903
101,1002,2,101,10000,290101041,223041903
101,1003,2,101,10000,290101042,223041903
101,1004,2,101,10000,290101043,223041903
101,1005,2,101,10000,290101044,223041903
101,1006,2,101,10000,290101045,223041903
101,1007,2,101,10000,290101046,223041903
101,1008,2,101,10000,290101047,223041903
101,1009,2,101,10000,290101048,223041903
101,2001,2,101,10000,290101049,223041903
101,2002,2,101,10000,290101050,223041903
101,2003,2,101,10000,290101051,223041903
101,2004,2,101,10000,290101052,223041903
101,2005,2,101,10000,290101053,223041903
101,2006,2,101,10000,290101054,223041903
101,2007,2,101,10000,290101055,223041903
101,2008,2,101,10000,290101056,223041903
101,2009,2,101,10000,290101057,223041903
101,3001,2,101,10000,290101058,223041903
101,3002,2,101,10000,290101059,223041903
101,3003,2,101,10000,290101060,223041903
101,3004,2,101,10000,290101061,223041903
101,3005,2,101,10000,290101062,223041903
101,3006,2,101,10000,290101063,223041903
101,3007,2,101,10000,290101064,223041903
101,3008,2,101,10000,290101065,223041903
101,3009,2,101,10000,290101066,223041903
101,3010,2,101,10000,290101067,223041903
101,3011,2,101,10000,290101068,223041903
101,3012,2,101,10000,290101069,223041903
101,4001,2,101,10000,290101070,223041903
101,4002,2,101,10000,290101071,223041903
101,4003,2,101,10000,290101072,223041903
101,4004,2,101,10000,290101073,223041903
101,4005,2,101,10000,290101074,223041903
101,4006,2,101,10000,290101075,223041903
101,4007,2,101,10000,290101076,223041903
101,4008,2,101,10000,290101077,223041903
101,4009,2,101,10000,290101078,223041903
101,1001,3,10001,30000,290101079,223041903
101,1002,3,10001,30000,290101080,223041903
101,1003,3,10001,30000,290101081,223041903
101,1004,3,10001,30000,290101082,223041903
101,1005,3,10001,30000,290101083,223041903
101,1006,3,10001,30000,290101084,223041903
101,1007,3,10001,30000,290101085,223041903
101,1008,3,10001,30000,290101086,223041903
101,1009,3,10001,30000,290101087,223041903
101,2001,3,10001,30000,290101088,223041903
101,2002,3,10001,30000,290101089,223041903
101,2003,3,10001,30000,290101090,223041903
101,2004,3,10001,30000,290101091,223041903
101,2005,3,10001,30000,290101092,223041903
101,2006,3,10001,30000,290101093,223041903
101,2007,3,10001,30000,290101094,223041903
101,2008,3,10001,30000,290101095,223041903
101,2009,3,10001,30000,290101096,223041903
101,3001,3,10001,30000,290101097,223041903
101,3002,3,10001,30000,290101098,223041903
101,3003,3,10001,30000,290101099,223041903
101,3004,3,10001,30000,290101100,223041903
101,3005,3,10001,30000,290101101,223041903
101,3006,3,10001,30000,290101102,223041903
101,3007,3,10001,30000,290101103,223041903
101,3008,3,10001,30000,290101104,223041903
101,3009,3,10001,30000,290101105,223041903
101,3010,3,10001,30000,290101106,223041903
101,3011,3,10001,30000,290101107,223041903
101,3012,3,10001,30000,290101108,223041903
101,4001,3,10001,30000,290101109,223041903
101,4002,3,10001,30000,290101110,223041903
101,4003,3,10001,30000,290101111,223041903
101,4004,3,10001,30000,290101112,223041903
101,4005,3,10001,30000,290101113,223041903
101,4006,3,10001,30000,290101114,223041903
101,4007,3,10001,30000,290101115,223041903
101,4008,3,10001,30000,290101116,223041903
101,4009,3,10001,30000,290101117,223041903
102,1001,1,1,100,290102001,223043004
102,1002,1,1,100,290102002,223043004
102,1003,1,1,100,290102003,223043004
102,1004,1,1,100,290102004,223043004
102,1005,1,1,100,290102005,223043004
102,1006,1,1,100,290102006,223043004
102,1007,1,1,100,290102007,223043004
102,1008,1,1,100,290102008,223043004
102,1009,1,1,100,290102009,223043004
