_key,_masterMovieId,_masterReleaseLabelId
Live_Bg_Muse,10000001,1
Live_Bg_Aqours,10000002,1
Live_Bg_Niji,10000003,1
Live_Bg_Liella,10000004,1
Group_Render_Muse,10001001,1
Group_Render_Aqours,10001002,1
Group_Render_Niji,10001003,1
Group_Render_Liella,10001004,1
Group_Render_Hasu,10001005,1
Group_Render_Yohane,10001006,1
Group_Render_Others,10001007,1
Common_HomePreset,20001006,1
Common_DeckEdit,20001007,1
Common_Member,20001008,1
Common_Shop,20001010,1
Common_Exchange,20001011,1
Common_Profile,20001012,1
Common_Friend,20001013,1
Common_Gps,20001014,1
Common_Item,20001015,1
Common_Comic,20001004,1
Common_MultiPlay,20001016,1
GachaPlay_CardIn_R,90000201,1
GachaPlay_CardIn_SR,90000202,1
GachaPlay_CardIn_UR,90000203,1
GachaPlay_Serif,90000301,1
GachaPlay_Serif_Evolution,90000302,1
