_memberTagId,_name,_imgAsset,_masterReleaseLabelId
4,μ's,BundleObjects/UnitLogo/unit_100,1
5,Aqours,BundleObjects/UnitLogo/unit_200,1
6,Printemps,BundleObjects/UnitLogo/unit_101,1
7,lily white,BundleObjects/UnitLogo/unit_102,1
8,BiBi,BundleObjects/UnitLogo/unit_103,1
9,CYaRon!,BundleObjects/UnitLogo/unit_201,1
10,AZALEA,BundleObjects/UnitLogo/unit_202,1
11,Guilty Kiss,BundleObjects/UnitLogo/unit_203,1
12,A-RISE,,1
13,Saint Snow,,1
14,Honoka,,1
15,Hanayo,,1
16,Nico,,1
17,Kotori,,1
18,Maki,,1
19,Umi,,1
20,Rin,,1
21,Nozomi,,1
22,Eli,,1
23,Honoka & Rin,,1
24,Nozomi & Nico,,1
25,Kotori & Hanayo,,1
26,Kotori & Umi,,1
27,Rin & Maki,,1
28,Maki & Nico,,1
29,Eli & Umi,,1
30,Eli & Nozomi,,1
31,Umi & Maki & Eli,,1
32,Honoka & Kotori & Umi,,1
33,Rin & Hanayo & Nico,,1
34,Chika & Riko & You,,1
35,Rin & Hanayo & Maki,,1
36,Eli & Nico & Nozomi,,1
37,Korekara no Someday Members,,1
38,Hanamaru Kunikida & Ruby Kurosawa & Yoshiko Tsushima,,1
39,Rin & Maki & Hanayo & Eli & Nozomi & Nico,,1
40,Kanan & Dia & Mari,,1
41,Chika,,1
42,Riko,,1
43,Kanan,,1
44,Dia,,1
45,You,,1
46,Yoshiko,,1
47,Hanamaru,,1
48,Mari,,1
49,Ruby,,1
50,Transfer Student,,1
51,Rival,,1
52,Support Member,,1
53,Riko Sakurauchi & Hanamaru Kunikida & Mari Ohara,,1
54,Dia Kurosawa & Ruby Kurosawa,,1
55,You Watanabe & Yoshiko Tsushima,,1
56,Chika Takami & Kanan Matsuura,,1
57,Saint Aqours Snow,,1
58,CYaZALEA☆Kiss,,1
60,Nijigasaki,BundleObjects/UnitLogo/unit_300.png,1
61,Ayumu Uehara,,1
62,Kasumi Nakasu,,1
63,Shizuku Osaka,,1
64,Karin Asaka,,1
65,Ai Miyashita,,1
66,Kanata Konoe,,1
67,Setsuna Yuki,,1
68,Emma Verde,,1
69,Rina Tennoji,,1
70,Shadowverse,,1
71,"Honoka, Eli",,1
72,"Honoka, Kotori",,1
73,"Honoka, Umi",,1
74,"Honoka, Rin",,1
75,"Honoka, Maki",,1
76,"Honoka, Nozomi",,1
77,"Honoka, Hanayo",,1
78,"Honoka, Nico",,1
79,"Eli, Kotori",,1
80,"Eli, Umi",,1
81,"Eli, Rin",,1
82,"Eli, Maki",,1
83,"Eli, Nozomi",,1
84,"Eli, Hanayo",,1
85,"Eli, Nico",,1
86,"Kotori, Umi",,1
87,"Kotori, Rin",,1
88,"Kotori, Maki",,1
89,"Kotori, Nozomi",,1
90,"Kotori, Hanayo",,1
91,"Kotori, Nico",,1
92,"Umi, Rin",,1
93,"Umi, Maki",,1
94,"Umi, Nozomi",,1
95,"Umi, Hanayo",,1
96,"Umi, Nico",,1
97,"Rin, Maki",,1
98,"Rin, Nozomi",,1
99,"Rin, Hanayo",,1
100,"Rin, Nico",,1
101,"Maki, Nozomi",,1
102,"Maki, Hanayo",,1
103,"Maki, Nico",,1
104,"Nozomi, Hanayo",,1
105,"Nozomi, Nico",,1
106,"Hanayo, Nico",,1
107,"Chika, Riko",,1
108,"Chika, Kanan",,1
109,"Chika, Dia",,1
110,"Chika, You",,1
111,"Chika, Yoshiko",,1
112,"Chika, Hanamaru",,1
113,"Chika, Mari",,1
114,"Chika, Ruby",,1
115,"Riko, Kanan",,1
116,"Riko, Dia",,1
117,"Riko, You",,1
118,"Riko, Yoshiko",,1
119,"Riko, Hanayo",,1
120,"Riko, Mari",,1
121,"Riko, Ruby",,1
122,"Kanan, Dia",,1
123,"Kanan, You",,1
124,"Kanan, Yoshiko",,1
125,"Kanan, Hanamaru",,1
126,"Kanan, Mari",,1
127,"Kanan, Ruby",,1
128,"Dia, You",,1
129,"Dia, Yoshiko",,1
130,"Dia, Hanamaru",,1
131,"Dia, Mari",,1
132,"Dia, Ruby",,1
133,"You, Yoshiko",,1
134,"You, Hanamaru",,1
135,"You, Mari",,1
136,"You, Ruby",,1
137,"Yoshiko, Hanamaru",,1
138,"Yoshiko, Mari",,1
139,"Yoshiko, Ruby",,1
140,"Hanamaru, Mari",,1
141,"Hanamaru, Ruby",,1
142,"Mari, Ruby",,1
143,Liella!,BundleObjects/UnitLogo/unit_400.png,1
144,Crayon Shin-chan,,1
145,Persona,,1
146,Sunny Passion,,1
147,Code Geass,,1
148,Riko Sakurauchi & You Watanabe,,1
149,Kanan Matsuura & Mari Ohara,,1
150,Hanamaru Kunikida & Ruby Kurosawa,,1
151,Chika Takami & Dia Kurosawa & Yoshiko Tsushima,,1
152,School Idol Musical,,1
1000,DiverDiva,,1
1001,A·ZU·NA,,1
1002,QU4RTZ,,1
2000,Shioriko,,1
2001,Mia,,1
2002,Lanzhu,,1
3000,Kanon,,1
3001,Keke,,1
3002,Chisato,,1
3003,Sumire,,1
3004,Ren,,1
3005,Kinako,,1
3006,Mei,,1
3007,Shiki,,1
3008,Natsumi,,1
