_id,_url,_masterReleaseLabelId
Help_Faq,https://lovelive-sif2.com/contact/faq/,1
Help_ContactForm,https://lovelive-sif2.com/contact/,1
Help_Note,https://lovelive-sif2.com/contact/,1
TermsOfService_Terms,/web/policy,1
TermsOfService_Rights,/web/policy/copyright,1
TermsOfService_PrivacyPolicy,/web/policy/privacy,1
GemShop_MedalGuidelines,/web/policy/gem,1
GemShop_SpecifiedCommercialTransactions_FundSettlement,/web/policy/payment,1
GemShop_SpecifiedCommercialTransactions,/web/policy/specifiedcommercial,1
GemShop_FundSettlement,/web/policy/fundsettlement,1
Notice_Main,web/announcement?category=1&Lng=1,1
Notice_Update,web/announcement?category=2&Lng=1,1
Notice_Bug,web/announcement?category=3&Lng=1,1
Notice_Detail,web/announcement/detail?announcement_id={0}&Lng=1,1
Migration_Info,web/migration,1
GameUpdate_AppStore,https://apps.apple.com/us/app/id6455889305,1
GameUpdate_GooglePlay,https://play.google.com/store/apps/details?id=com.bushiroad.global.lovelive.sif2.google,1
Web_Official,https://lovelive-sif2.com/,1
Mission_TwitterOfficial,https://twitter.com/lovelive_SIF_GL,1
Mission_LineOfficial,https://lin.ee,1
Notice_StorySource,web/announcement/story,1
Membership_PlayAccount,https://play.google.com/store/account,1
TermsOfService_Credit,/web/policy/credit,1
Theater_Dialog,/web/theater,223120502
Help_Payback,https://lovelive-sif2.com/news/,1
