_id,_consumeType,_value,_amount,_masterExchangeItemRewardId,_exchangeLimit,_timeResetType,_recommendMarkClosedAt,_masterEventId,_priority,_masterReleaseLabelId
111000101,4,15500001,250,111000101,0,0,0,0,1,223041501
111000102,4,15500001,5,111000102,0,0,0,0,1,223041501
111000103,4,15500001,250,111000103,0,0,2030/03/31 23:59:59,0,1,223041501
111000104,4,15500001,250,111000104,0,0,2030/03/31 23:59:59,0,1,223041501
111000105,4,15500001,250,111000105,0,0,2030/03/31 23:59:59,0,1,223041501
111000106,4,15500001,250,111000106,0,0,2030/03/31 23:59:59,0,1,223041501
111000107,4,15500001,250,111000107,0,0,2030/03/31 23:59:59,0,1,223041501
111000108,4,15500001,250,111000108,0,0,2030/03/31 23:59:59,0,1,223041501
111000109,4,15500001,250,111000109,0,0,2030/03/31 23:59:59,0,1,223041501
111000110,4,15500001,250,111000110,0,0,2030/03/31 23:59:59,0,1,223041501
111000111,4,15500001,250,111000111,0,0,2030/03/31 23:59:59,0,1,223041501
111000112,4,15500001,250,111000112,0,0,2030/03/31 23:59:59,0,1,223041501
111000113,4,15500001,250,111000113,0,0,2030/03/31 23:59:59,0,1,223041501
111000114,4,15500001,250,111000114,0,0,2030/03/31 23:59:59,0,1,223041501
111000115,4,15500001,250,111000115,0,0,2030/03/31 23:59:59,0,1,223041501
111000116,4,15500001,250,111000116,0,0,2030/03/31 23:59:59,0,1,223041501
111000117,4,15500001,250,111000117,0,0,2030/03/31 23:59:59,0,1,223041501
111000118,4,15500001,250,111000118,0,0,2030/03/31 23:59:59,0,1,223041501
111000119,4,15500001,250,111000119,0,0,2030/03/31 23:59:59,0,1,223041501
111000120,4,15500001,250,111000120,0,0,2030/03/31 23:59:59,0,1,223041501
111000121,4,15500001,250,111000121,0,0,2030/03/31 23:59:59,0,1,223041501
111000122,4,15500001,250,111000122,0,0,2030/03/31 23:59:59,0,1,223041501
111000123,4,15500001,250,111000123,0,0,2030/03/31 23:59:59,0,1,223041501
111000124,4,15500001,250,111000124,0,0,2030/03/31 23:59:59,0,1,223041501
111000125,4,15500001,250,111000125,0,0,2030/03/31 23:59:59,0,1,223041501
111000126,4,15500001,250,111000126,0,0,2030/03/31 23:59:59,0,1,223041501
111000127,4,15500001,250,111000127,0,0,2030/03/31 23:59:59,0,1,223041501
111000128,4,15500001,250,111000128,0,0,2030/03/31 23:59:59,0,1,223041501
111000129,4,15500001,250,111000129,0,0,2030/03/31 23:59:59,0,1,223041501
111000130,4,15500001,250,111000130,0,0,2030/03/31 23:59:59,0,1,223041501
111000131,4,15500001,250,111000131,0,0,2030/03/31 23:59:59,0,1,223041501
111000132,4,15500001,250,111000132,0,0,2030/03/31 23:59:59,0,1,223041501
111000133,4,15500001,250,111000133,0,0,2030/03/31 23:59:59,0,1,223041501
111000134,4,15500001,250,111000134,0,0,2030/03/31 23:59:59,0,1,223041501
111000135,4,15500001,250,111000135,0,0,2030/03/31 23:59:59,0,1,223041501
111000136,4,15500001,250,111000136,0,0,2030/03/31 23:59:59,0,1,223041501
111000137,4,15500001,250,111000137,0,0,2030/03/31 23:59:59,0,1,223041501
