_id,_phase,_navigationTitle,_masterNoticeRewardId,_displayableTime,_displayableExpireTime,_masterReleaseLabelId
1,0,事前登録50万人達成記念のプレゼント,250000001,0,0,223041503
2,0,23年04月：事前登録・放送CP,250000002,0,0,223041503
3,0,23年04月：謎解報酬CP,250000003,0,0,223041701
4,0,23年04月：配信CP,250000004,0,0,223042801
5,0,23年05月：GW CP,250000005,0,0,223050105
6,0,,250000006,0,0,223052604
7,0,,250000007,0,0,223062701
8,0,メンテナンスご協力のお礼,250000008,0,0,223061509
9,0,不具合のお詫びです,250000009,0,0,223061510
10,0,感謝祭ステージプレゼント,250000010,0,0,223062603
11,0,感謝祭開催記念プレゼント,250000011,0,0,223063009
12,0,プレゼント,250000012,0,0,223072602
13,0,アドベントカレンダー12/15のプレゼント,250000013,0,0,223121501
14,0,アドベントカレンダー12/16のプレゼント,250000014,0,0,223121603
15,0,アドベントカレンダー12/17のプレゼント,250000015,0,0,223121701
16,0,アドベントカレンダー12/18のプレゼント,250000016,0,0,223121801
17,0,アドベントカレンダー12/19のプレゼント,250000017,0,0,223121903
18,0,アドベントカレンダー12/20のプレゼント,250000018,0,0,223122001
19,0,アドベントカレンダー12/21のプレゼント,250000019,0,0,223122101
20,0,アドベントカレンダー12/22のプレゼント,250000020,0,0,223122201
21,0,アドベントカレンダー12/23のプレゼント,250000021,0,0,223122301
22,0,アドベントカレンダー12/24のプレゼント,250000022,0,0,223122401
23,0,異次元フェス アイドルマスター★♥ラブライブ！歌合戦開催記念プレゼント,250000023,0,0,223120805
24,0,異次元フェス アイドルマスター★♥ラブライブ！歌合戦開催記念プレゼント,250000024,0,0,223120905
25,0,異次元フェス アイドルマスター★♥ラブライブ！歌合戦開催記念プレゼント,250000025,0,0,223121002
26,0,お正月みらくるキャンペーンのプレゼント,250000026,0,0,224010110
27,0,お正月みらくるキャンペーンのプレゼント,250000027,0,0,224010101
28,0,お正月みらくるキャンペーンのプレゼント,250000028,0,0,224010201
29,0,お正月みらくるキャンペーンのプレゼント,250000029,0,0,224010301
30,0,お正月みらくるキャンペーンのプレゼント,250000030,0,0,224010401
31,0,お正月みらくるキャンペーンのプレゼント,250000031,0,0,224010501
32,0,お正月みらくるキャンペーンのプレゼント,250000032,0,0,224010402
33,0,スクフェス2サンタにお願い！キャンペーンのプレゼント,250000033,0,0,223122503
34,0,ハッピーバレンタインデーキャンペーンのプレゼント,250000034,0,0,224021407
35,0,カラフルスプリングキャンペーンのプレゼント,250000035,0,0,224031402
36,0,ラブライブ！TVアニメ放送10周年記念 LoveLive! Orchestra Concert,250000036,0,0,224033003
