_id,_name,_masterReleaseLabelId
101,ミラクルスター,223041903
102,ミラクルスター,223043004
103,アイコン,223051101
104,ミラクルスター,223051504
105,アイコン,223052601
106,ミラクルスター,223053104
107,アイコン,223061101
109,ミラクルスター,223063004
110,アイコン,223071101
112,アイコン,223072601
113,ミラクルスター,223073104
114,アイコン,223081101
116,アイコン,223082601
117,ミラクルスター,223083104
118,アイコン,223091101
120,アイコン,223092601
121,ミラクルスター,223093004
122,アイコン,223101101
123,ミラクルスター,223101508
124,アイコン,223102601
125,ミラクルスター,223103104
126,アイコン,223111101
127,スターポイント,223111504
128,アイコン,223112601
129,ミラクルスター,223113004
130,アイコン,223121102
132,アイコン,223122603
133,ミラクルスター,223123104
134,アイコン,224011106
135,スターポイント,224011504
136,アイコン,224012702
137,ミラクルスター,224013104
138,アイコン,224021006
139,スターポイント,224021404
140,アイコン,224022305
141,ミラクルスター,224030104
