_id,_number,_type,_value,_amount,_priority,_pickup,_show,_boxCount,_masterReleaseLabelId
200044001,1,2,10010013,1,0,0,1,0,223041501
200044001,2,2,10020013,1,0,0,0,0,223041501
200044001,3,2,10030013,1,0,0,0,0,223041501
200044001,4,2,10040013,1,0,0,0,0,223041501
200044001,5,2,10050013,1,0,0,0,0,223041501
200044001,6,2,10060013,1,0,0,0,0,223041501
200044001,7,2,10070013,1,0,0,0,0,223041501
200044001,8,2,10080013,1,0,0,0,0,223041501
200044001,9,2,10090013,1,0,0,0,0,223041501
200044001,10,2,20010011,1,0,0,1,0,223041501
200044001,11,2,20020011,1,0,0,0,0,223041501
200044001,12,2,20030011,1,0,0,0,0,223041501
200044001,13,2,20040011,1,0,0,0,0,223041501
200044001,14,2,20050011,1,0,0,0,0,223041501
200044001,15,2,20060011,1,0,0,0,0,223041501
200044001,16,2,20070011,1,0,0,0,0,223041501
200044001,17,2,20080011,1,0,0,0,0,223041501
200044001,18,2,20090011,1,0,0,0,0,223041501
200044001,19,2,30010007,1,0,0,1,0,223041501
200044001,20,2,30020007,1,0,0,0,0,223041501
200044001,21,2,30030007,1,0,0,0,0,223041501
200044001,22,2,30040007,1,0,0,0,0,223041501
200044001,23,2,30050007,1,0,0,0,0,223041501
200044001,24,2,30060007,1,0,0,0,0,223041501
200044001,25,2,30070007,1,0,0,0,0,223041501
200044001,26,2,30080007,1,0,0,0,0,223041501
200044001,27,2,30090007,1,0,0,0,0,223041501
200044001,28,2,30100007,1,0,0,0,0,223041501
200044001,29,2,30110007,1,0,0,0,0,223041501
200044001,30,2,30120007,1,0,0,0,0,223041501
200044001,31,2,40010007,1,0,0,1,0,223041501
200044001,32,2,40020007,1,0,0,0,0,223041501
200044001,33,2,40030007,1,0,0,0,0,223041501
200044001,34,2,40040007,1,0,0,0,0,223041501
200044001,35,2,40050007,1,0,0,0,0,223041501
200044001,36,2,40060007,1,0,0,0,0,223041501
200044001,37,2,40070007,1,0,0,0,0,223041501
200044001,38,2,40080007,1,0,0,0,0,223041501
200044001,39,2,40090007,1,0,0,0,0,223041501
111000301,1,2,10010013,1,0,0,0,0,223041901
111000301,2,2,10020013,1,0,0,0,0,223041901
