_id,_num,_masterVoiceId,_masterCharacterId,_systemVoiceType,_value,_textJa,_textEn,_masterReleaseLabelId
1,1,40001001,1001,0,0,穂乃果の家はおまんじゅうやさんなんだ♪遊びに来てね？,,1
1,2,40001002,1001,1,0,この衣装、すっごく動きやすいんだよー,,1
1,3,40001003,1001,0,0,こ、ここだけの話……穂乃果はピーマンが苦手です……,,1
1,4,40001004,1001,1,0,穂乃果のハートをみんなにお届け♪,,1
1,5,40001005,1001,0,0,穂乃果も結構、運がいいんだよ？…でも、希ちゃんには負けるかも,,1
1,6,40001006,1001,1,0,さあ！どんどん進むよー！,,1
1,7,40001007,1001,2,0,穂乃果の笑顔、色んな人に届けられるかな？,,1
1,8,40001008,1001,3,0,沢山練習して、立派なスクールアイドルになりたいな♪,,1
1,9,40001009,1001,4,0,どうやったらファンのみんなが喜んでくれるかなあ？,,1
1,10,40001010,1001,5,0,この服すっごいアイドルっぽい！ってスクールアイドルなんだけど…,,1
1,11,40001011,1001,6,0,スクールアイドルとしてずいぶん成長できた気がする…あなたのおかげだね♪,,1
1,12,40001012,1001,7,0,穂乃果は穂乃果らしくしてたいな。あなたには嘘つきたくないもんね,,1
1,13,40001013,1001,8,0,ずっとあなたのこと……考えてた。この気持ち、どうやって伝えたらいいのかな,,1
1,14,40001014,1001,9,0,あなたがいれば何でもできそう！穂乃果、羽ばたきます♪,,1
1,15,40001015,1001,10,0,ここまで穂乃果を連れてきてくれたのに…離れたりしたら…やぁだよ？,,1
1,16,40001016,1001,11,0,さ、元気出していってみよう！,,1
1,17,40001017,1001,12,0,よーし、穂乃果と一緒に歌おうよ！,,1
1,18,40001018,1001,13,0,おつかれさまっ！今日もいっぱい頑張ったねー！！,,1
1,19,40001019,1001,14,0,おはよ〜！今日も一緒にがんばろうねっ！！,,1
1,20,40001020,1001,15,0,調子はどうかな？無理しないでね,,1
1,21,40001021,1001,16,0,お疲れ？穂乃果がマッサージしてあげよっか？,,1
1,22,40001022,1001,17,0,今日も楽しかったねー！おやすみー！！,,1
1,23,40001023,1001,19,0,ふわぁ〜あ…やっぱり春は眠くなるよね〜,,1
1,24,40001024,1001,20,0,暑くて練習するのが大変だね〜,,1
1,25,40001025,1001,21,0,食べ物がおいしい季節だね〜,,1
1,26,40001026,1001,22,0,最近寒いけど、ちゃんとあったかくしてる？,,1
1,27,40001027,1001,18,0,穂乃果がサポートしちゃうよー,,1
1,28,40001028,1001,18,0,呼んだ呼んだ？,,1
1,29,40001029,1001,18,0,何かあった？,,1
1,30,40001030,1001,18,0,きゃ〜くすぐったいよ〜！,,1
1,31,40001031,1001,18,0,わっ！どうしたの？,,1
1,32,40001032,1001,18,0,え？なになに？？,,1
1,33,40001033,1001,18,0,え、ちょっとやだ、なに触ってるのっ？！,,1
1,34,40001034,1001,18,0,もう！それ以上やると、穂乃果怒っちゃうよ,,1
1,35,40001035,1001,18,0,ちょ、ちょっとだけだよ…？,,1
1,36,40001036,1001,18,0,そんなことされたら照れちゃうよー,,1
1,37,40001037,1001,18,0,ダメダメダメー！ここじゃダメ―！,,1
1,38,40001038,1001,24,0,早くストーリーの続きを見ようよっ！,,1
1,39,40001039,1001,25,0,課題達成まで、前進あるのみ！,,1
1,40,40001040,1001,26,0,ライブしようよ！穂乃果はまだまだ頑張れるよ！,,1
1,41,40001041,1001,27,0,まだまだライブやりたーい！,,1
1,42,40001042,1001,28,0,早く踊りたい！　いつでも準備はできてるよ！,,1
1,43,40001043,1001,29,0,おぉっ？まだ練習できるみたいだよ！頑張るしかないね〜！,,1
1,44,40001044,1001,30,0,なんか特別練習ができそうだよ！,,1
1,45,40001045,1001,31,0,プレゼントがあるって！わーい！なんだろ〜？！,,1
1,46,40001046,1001,32,0,勧誘しようよ！,,1
1,47,40001047,1001,33,0,新しい情報だよ！早く確認してみよう！,,1
1,48,40001048,1001,34,0,ねぇねぇ、今イベントやってるんだって！参加してみようよ〜！,,1
1,49,40001049,1001,35,0,どんなお話があるんだろう？,,1
1,50,40001050,1001,36,0,お友達はどうしてるかな？,,1
1,51,40001051,1001,37,0,部員のみんなの調子はどう？,,1
1,52,40001052,1001,46,0,ようこそ！私は高坂穂乃果。よろしくね！,,1
1,53,40001053,1001,46,0,日本中に笑顔で元気！,,1
1,54,40001054,1001,46,0,高坂穂乃果です♪,,1
1,55,40001055,1001,47,0,行くよ！,,1
1,56,40001056,1001,48,0,はぁ！,,1
1,57,40001057,1001,49,0,今だ！,,1
1,58,40001058,1001,40,0,いっくよー！,,1
1,59,40001059,1001,40,0,頑張ります！,,1
1,60,40001060,1001,40,0,いける気がする！,,1
1,61,40001061,1001,38,0,ライブ成功だよ♪,,1
1,62,40001062,1001,38,0,あなたのおかげだね♪,,1
1,63,40001063,1001,38,0,努力の成果だね！,,1
1,64,40001064,1001,38,0,さぁ、次だよ！,,1
1,65,40001065,1001,38,0,凄くいい感じ♪,,1
1,66,40001066,1001,39,0,失敗しちゃった…,,1
1,67,40001067,1001,39,0,悔しい！けど、あきらめないもん！,,1
1,68,40001068,1001,41,0,すっごーい！,,1
1,69,40001069,1001,41,0,嬉しいな♪,,1
1,70,40001070,1001,41,0,大好き♪,,1
1,71,40001071,1001,41,0,えへへ…,,1
1,72,40001072,1001,41,0,素敵！,,1
1,73,40001073,1001,41,0,も、もう♪,,1
1,74,40001074,1001,41,0,いっえーい♪,,1
1,75,40001075,1001,42,0,あなたのことが大好きです♪,,1
1,76,40001076,1001,42,0,穂乃果、すっごく幸せだよ？,,1
1,77,40001077,1001,42,0,穂乃果の気持ち、受け取って♪,,1
1,78,40001078,1001,42,0,あなたの期待に応えます！,,1
1,79,40001079,1001,42,0,穂乃果を離さないでね♪,,1
1,80,40001080,1001,42,0,あなたといるとドキドキするの！,,1
1,81,40001081,1001,42,0,な、なんだろ！ちょ、ちょっと照れちゃう！,,1
1,82,40001082,1001,43,0,まだまだここから！,,1
1,83,40001083,1001,44,0,あなたに届け！,,1
1,84,40001084,1001,45,0,可能性感じるよ！,,1
1,85,40001085,1001,23,1,あけましておめでとう〜！　新年からあなたと一緒なんて、嬉しいな♪,,1
1,86,40001086,1001,23,2,今日の豆まき、みんな目が本気だよ〜　二人で一緒に逃げちゃおっか？,,1
1,87,40001087,1001,23,3,今日はチョコレートをいっぱい食べていい日だよ♪　ことりちゃんにもらいに行こーっと♪,,1
1,88,40001088,1001,23,4,お内裏様ってキリッとしてるから、海未ちゃんと絵里ちゃんが似合いそうかも〜,,1
1,89,40001089,1001,23,5,ホワイトデーって、お菓子をたくさん食べていい日だよね？　ことりちゃんにもらいに行こーっと♪,,1
1,90,40001090,1001,23,6,はい、かしわ餅♪　今日はこどもの日だから、みんなで作ったんだよ,,1
1,91,40001091,1001,23,7,今日は七夕だね。織姫様と彦星様が無事に会えるといいな♪　みんなの願い事も叶うといいな♪,,1
1,92,40001092,1001,23,8,今日は海未ちゃんの日なんだって！　お泊まり会をする予定なんだよ。楽しみだなあっ♪,,1
