_id,_lengthType,_screenType,_movieName,_movieDetail,_masterCharacterIdList,_masterCharacterId,_folderPath,_fileName,_thumbnailSpriteName,_getCategory,_masterMusicIdList,_masterReleaseLabelId
10000001,0,1,Museライブ汎用背景,,,0,Scenes/LiveBg/,Monitor_Muse,,0,,1
10000002,0,1,Aqoursライブ汎用背景,,,0,Scenes/LiveBg/,Monitor_Aqours,,0,,1
10000003,0,1,虹学ライブ汎用背景,,,0,Scenes/LiveBg/,Monitor_Niji,,0,,1
10000004,0,1,Liellaライブ汎用背景,,,0,Scenes/LiveBg/,Monitor_Liella,,0,,1
10000005,0,1,蓮ライブ背景,,,0,Scenes/LiveBg/,Monitor_Hasu,,0,,1
10000006,0,1,その他汎用ライブ背景,,,0,Scenes/LiveBg/,Monitor_Other,,0,,1
10000007,0,1,ヨハネライブ汎用背景,,,0,Scenes/LiveBg/,Monitor_Yohane,,0,,1
10001001,0,1,Muse,,,0,Scenes/Common/,Render_Muse_1,,0,,1
10001002,0,1,Aqours,,,0,Scenes/Common/,Render_Aqours_1,,0,,1
10001003,0,1,Niji,,,0,Scenes/Common/,Render_Niji_1,,0,,1
10001004,0,1,Liella,,,0,Scenes/Common/,Render_Liella_1,,0,,1
10001005,0,1,Hasu,,,0,Scenes/Common/,Render_Hasu_1,,0,,1
10001006,0,1,Yohane,,,0,Scenes/Common/,Render_Yohane_1,,0,,1
10001007,0,1,Others,,,0,Scenes/Common/,Render_Others_1,,0,,1
20001004,0,1,1コマ漫画,,,0,Scenes/Common/,bg_cartoon,,0,,1
20001006,0,1,ホームプリセット,,,0,Scenes/Common/,bg_homePreset,,0,,1
20001007,0,1,デッキ編成,,,0,Scenes/Common/,bg_deckEdit,,0,,1
20001008,0,1,メンバー一覧,,,0,Scenes/Common/,bg_member,,0,,1
20001010,0,1,ショップ,,,0,Scenes/Common/,bg_shop,,0,,1
20001011,0,1,交換所,,,0,Scenes/Common/,bg_exchange,,0,,1
20001012,0,1,プロフィール,,,0,Scenes/Common/,bg_profile,,0,,1
20001013,0,1,フレンド,,,0,Scenes/Common/,bg_friend,,0,,1
20001014,0,1,GPS,,,0,Scenes/Common/,bg_gps,,0,,1
20001015,0,1,アイテム,,,0,Scenes/Common/,bg_item,,0,,1
20001016,0,1,マルチ,,,0,Scenes/Common/,bg_multiPlay,,0,,1
30010001,0,1,μ'sの日常1話,,,0,Scenes/StoryNichijo/,nichijo_01_0001,,0,,1
30010002,0,1,μ'sの日常2話,,,0,Scenes/StoryNichijo/,nichijo_01_0002,,0,,1
30010003,0,1,μ'sの日常3話,,,0,Scenes/StoryNichijo/,nichijo_01_0003,,0,,1
30010004,0,1,μ'sの日常4話,,,0,Scenes/StoryNichijo/,nichijo_01_0004,,0,,1
30010005,0,1,μ'sの日常5話,,,0,Scenes/StoryNichijo/,nichijo_01_0005,,0,,1
30010006,0,1,μ'sの日常6話,,,0,Scenes/StoryNichijo/,nichijo_01_0006,,0,,223122602
30010007,0,1,μ'sの日常7話,,,0,Scenes/StoryNichijo/,nichijo_01_0007,,0,,223122602
30010008,0,1,μ'sの日常8話,,,0,Scenes/StoryNichijo/,nichijo_01_0008,,0,,223122602
30020001,0,1,Aqoursの日常1話,,,0,Scenes/StoryNichijo/,nichijo_02_0001,,0,,1
30020002,0,1,Aqoursの日常2話,,,0,Scenes/StoryNichijo/,nichijo_02_0002,,0,,1
30020003,0,1,Aqoursの日常3話,,,0,Scenes/StoryNichijo/,nichijo_02_0003,,0,,1
30020004,0,1,Aqoursの日常4話,,,0,Scenes/StoryNichijo/,nichijo_02_0004,,0,,1
30020005,0,1,Aqoursの日常5話,,,0,Scenes/StoryNichijo/,nichijo_02_0005,,0,,1
30030001,0,1,ニジガクの日常1話,,,0,Scenes/StoryNichijo/,nichijo_03_0001,,0,,1
30030002,0,1,ニジガクの日常2話,,,0,Scenes/StoryNichijo/,nichijo_03_0002,,0,,1
30030003,0,1,ニジガクの日常3話,,,0,Scenes/StoryNichijo/,nichijo_03_0003,,0,,1
