_characterId,_groupId,_masterReleaseLabelId
1001,100,1
1001,101,1
1002,100,1
1002,103,1
1003,100,1
1003,101,1
1004,100,1
1004,102,1
1005,100,1
1005,102,1
1006,100,1
1006,103,1
1007,100,1
1007,102,1
1008,100,1
1008,101,1
1009,100,1
1009,103,1
2001,200,1
2001,201,1
2002,200,1
2002,203,1
2003,200,1
2003,202,1
2004,200,1
2004,202,1
2005,200,1
2005,201,1
2006,200,1
2006,203,1
2007,200,1
2007,202,1
2008,200,1
2008,203,1
2009,200,1
2009,201,1
3001,300,1
3001,302,1
3002,300,1
3002,303,1
3003,300,1
3003,302,1
3004,300,1
3004,301,1
3005,300,1
3005,301,1
3006,300,1
3006,303,1
3007,300,1
3007,302,1
3008,300,1
3008,303,1
3009,300,1
3009,303,1
3010,300,1
3010,304,1
3011,300,1
3011,304,1
3012,300,1
3012,304,1
4001,400,1
4002,400,1
4003,400,1
4004,400,1
4005,400,1
4006,400,1
4007,400,1
4008,400,1
4009,400,1
4010,400,223121502
4011,400,223121502
4001,403,223101004
4002,404,223101004
4003,405,223101004
4004,403,223101004
4005,404,223101004
4006,405,223101004
4007,403,223101004
4008,405,223101004
4009,405,223101004
4010,404,223121502
4011,405,223121502
6001,9901,223121403
6001,9999,223121403
6002,9901,223121403
6002,9999,223121403
6003,9901,223121403
6003,9999,223121403
6004,9901,223121403
6004,9999,223121403
6005,9901,223121403
6005,9999,223121403
6006,9901,223121403
6006,9999,223121403
6007,9901,223121403
6007,9999,223121403
6008,9901,223121403
6008,9999,223121403
6009,9901,223121403
6009,9999,223121403
5001,9000,1
5001,9999,1
5002,9000,1
5002,9999,1
5003,9000,1
5003,9999,1
5004,9000,1
5004,9999,1
5005,9000,1
5005,9999,1
5006,9000,1
5006,9999,1
5007,9000,1
5007,9999,1
5008,9000,1
5008,9999,1
5009,9000,1
5009,9999,1
5010,9000,1
5010,9999,1
5011,9000,1
5011,9999,1
5012,9000,1
5012,9999,1
5013,9000,1
5013,9999,1
5014,9000,1
5014,9999,1
5015,9000,1
5015,9999,1
5016,9000,1
5016,9999,1
5017,9000,1
5017,9999,1
5018,9000,1
5018,9999,1
5019,9000,1
5019,9999,1
5020,9000,1
5020,9999,1
5021,9000,1
5021,9999,1
5022,9000,1
5022,9999,1
5023,9000,1
5023,9999,1
5024,9000,1
5024,9999,1
5025,9000,1
5025,9999,1
5026,9000,1
5026,9999,1
5027,9000,1
5027,9999,1
5028,9000,1
5028,9999,1
5029,9000,1
5029,9999,1
5030,9000,1
5030,9999,1
5031,9000,1
5031,9999,1
5032,9000,1
5032,9999,1
5033,9000,1
5033,9999,1
5034,9000,1
5034,9999,1
5035,9000,1
5035,9999,1
5036,9000,1
5036,9999,1
5037,9000,1
5037,9999,1
5038,9000,1
5038,9999,1
5039,9000,1
5039,9999,1
5040,9000,1
5040,9999,1
5041,9000,1
5041,9999,1
5042,9000,1
5042,9999,1
5043,9000,1
5043,9999,1
5044,9000,1
5044,9999,1
5045,9000,1
5045,9999,1
5046,9000,1
5046,9999,1
5047,9000,1
5047,9999,1
5048,9000,1
5048,9999,1
5049,9000,1
5049,9999,1
5050,9000,1
5050,9999,1
5051,9000,1
5051,9999,1
5052,9000,1
5052,9999,1
5053,9000,1
5053,9999,1
5054,9000,1
5054,9999,1
5055,9000,1
5055,9999,1
5056,9000,1
5056,9999,1
5057,9000,1
5057,9999,1
5058,9000,1
5058,9999,1
5059,9000,1
5059,9999,1
5060,9000,1
5060,9999,1
5061,9000,1
5061,9999,1
5062,9000,1
5062,9999,1
5063,9000,1
5063,9999,1
5064,9000,1
5064,9999,1
5065,9000,1
5065,9999,1
5066,9000,1
5066,9999,1
5067,9000,1
5067,9999,1
5068,9000,1
5068,9999,1
5069,9000,1
5069,9999,1
5070,9000,1
5070,9999,1
5071,9000,1
5071,9999,1
