_memberTagId,_name,_imgAsset,_masterReleaseLabelId
4,μ's,BundleObjects/UnitLogo/unit_100,1
5,Aqours,BundleObjects/UnitLogo/unit_200,1
6,Printemps,BundleObjects/UnitLogo/unit_101,1
7,lily white,BundleObjects/UnitLogo/unit_102,1
8,BiBi,BundleObjects/UnitLogo/unit_103,1
9,CYaRon！,BundleObjects/UnitLogo/unit_201,1
10,AZALEA,BundleObjects/UnitLogo/unit_202,1
11,Guilty Kiss,BundleObjects/UnitLogo/unit_203,1
12,A-RISE,,1
13,Saint Snow,,1
14,穂乃果,,1
15,花陽,,1
16,にこ,,1
17,ことり,,1
18,真姫,,1
19,海未,,1
20,凛,,1
21,希,,1
22,絵里,,1
23,穂乃果＆凛,,1
24,希＆にこ,,1
25,ことり＆花陽,,1
26,ことり＆海未,,1
27,凛＆真姫,,1
28,真姫＆にこ,,1
29,絵里＆海未,,1
30,絵里＆希,,1
31,海未＆真姫＆絵里,,1
32,穂乃果＆ことり＆海未,,1
33,凛＆花陽＆にこ,,1
34,千歌＆梨子＆曜,,1
35,凛＆花陽＆真姫,,1
36,絵里＆にこ＆希,,1
37,これからのSomedayメンバー,,1
38,国木田花丸＆黒澤ルビィ＆津島善子,,1
39,凛＆真姫＆花陽＆絵里＆希＆にこ,,1
40,果南&ダイヤ&鞠莉,,1
41,千歌,,1
42,梨子,,1
43,果南,,1
44,ダイヤ,,1
45,曜,,1
46,善子,,1
47,花丸,,1
48,鞠莉,,1
49,ルビィ,,1
50,転入生,,1
51,ライバル,,1
52,サポートメンバー,,1
53,桜内梨子＆国木田花丸＆小原鞠莉,,1
54,黒澤ダイヤ＆黒澤ルビィ,,1
55,渡辺 曜＆津島善子,,1
56,高海千歌＆松浦果南,,1
57,Saint Aqours Snow,,1
58,シャゼリア☆キッス,,1
60,虹ヶ咲,BundleObjects/UnitLogo/unit_300.png,1
61,上原歩夢,,1
62,中須かすみ,,1
63,桜坂しずく,,1
64,朝香果林,,1
65,宮下 愛,,1
66,近江彼方,,1
67,優木せつ菜,,1
68,エマ・ヴェルデ,,1
69,天王寺璃奈,,1
70,Shadowverse,,1
71,穂乃果、絵里,,1
72,穂乃果、ことり,,1
73,穂乃果、海未,,1
74,穂乃果、凛,,1
75,穂乃果、真姫,,1
76,穂乃果、希,,1
77,穂乃果、花陽,,1
78,穂乃果、にこ,,1
79,絵里、ことり,,1
80,絵里、海未,,1
81,絵里、凛,,1
82,絵里、真姫,,1
83,絵里、希,,1
84,絵里、花陽,,1
85,絵里、にこ,,1
86,ことり、海未,,1
87,ことり、凛,,1
88,ことり、真姫,,1
89,ことり、希,,1
90,ことり、花陽,,1
91,ことり、にこ,,1
92,海未、凛,,1
93,海未、真姫,,1
94,海未、希,,1
95,海未、花陽,,1
96,海未、にこ,,1
97,凛、真姫,,1
98,凛、希,,1
99,凛、花陽,,1
100,凛、にこ,,1
101,真姫、希,,1
102,真姫、花陽,,1
103,真姫、にこ,,1
104,希、花陽,,1
105,希、にこ,,1
106,花陽、にこ,,1
107,千歌、梨子,,1
108,千歌、果南,,1
109,千歌、ダイヤ,,1
110,千歌、曜,,1
111,千歌、善子,,1
112,千歌、花丸,,1
113,千歌、鞠莉,,1
114,千歌、ルビィ,,1
115,梨子、果南,,1
116,梨子、ダイヤ,,1
117,梨子、曜,,1
118,梨子、善子,,1
119,梨子、花丸,,1
120,梨子、鞠莉,,1
121,梨子、ルビィ,,1
122,果南、ダイヤ,,1
123,果南、曜,,1
124,果南、善子,,1
125,果南、花丸,,1
126,果南、鞠莉,,1
127,果南、ルビィ,,1
128,ダイヤ、曜,,1
129,ダイヤ、善子,,1
130,ダイヤ、花丸,,1
131,ダイヤ、鞠莉,,1
132,ダイヤ、ルビィ,,1
133,曜、善子,,1
134,曜、花丸,,1
135,曜、鞠莉,,1
136,曜、ルビィ,,1
137,善子、花丸,,1
138,善子、鞠莉,,1
139,善子、ルビィ,,1
140,花丸、鞠莉,,1
141,花丸、ルビィ,,1
142,鞠莉、ルビィ,,1
143,Liella!,BundleObjects/UnitLogo/unit_400.png,1
144,クレヨンしんちゃん,,1
145,ペルソナ,,1
146,サニーパッション,,1
147,コードギアス,,1
148,桜内梨子＆渡辺 曜,,1
149,松浦果南＆小原鞠莉,,1
150,国木田花丸＆黒澤ルビィ,,1
151,高海千歌＆黒澤ダイヤ＆津島善子,,1
152,スクールアイドルミュージカル,,1
1000,DiverDiva,,1
1001,A・ZU・NA,,1
1002,QU4RTZ,,1
2000,栞子,,1
2001,ミア,,1
2002,ランジュ,,1
3000,かのん,,1
3001,可可,,1
3002,千砂都,,1
3003,すみれ,,1
3004,恋,,1
3005,きな子,,1
3006,メイ,,1
3007,四季,,1
3008,夏美,,1
