_masterEventId,_number,_amount,_masterEventPointRewardId,_repeatInterval,_repeatCount,_masterReleaseLabelId
101,1,10,200001001,0,0,223041903
101,2,50,200001002,0,0,223041903
101,3,100,200001003,0,0,223041903
101,4,250,200001004,0,0,223041903
101,5,500,200001005,0,0,223041903
101,6,750,200001006,0,0,223041903
101,7,1000,200001007,0,0,223041903
101,8,1500,200001008,0,0,223041903
101,9,2000,200001009,0,0,223041903
101,10,2500,200001010,0,0,223041903
101,11,3000,200001011,0,0,223041903
101,12,4000,200001012,0,0,223041903
101,13,5000,200001013,0,0,223041903
101,14,6000,200001014,0,0,223041903
101,15,7000,200001015,0,0,223041903
101,16,8000,200001016,0,0,223041903
101,17,9000,200001017,0,0,223041903
101,18,10000,200001018,0,0,223041903
101,19,12000,200001019,0,0,223041903
101,20,14000,200001020,0,0,223041903
101,21,16000,200001021,0,0,223041903
101,22,18000,200001022,0,0,223041903
101,23,20000,200001023,0,0,223041903
101,24,22000,200001024,0,0,223041903
101,25,24000,200001025,0,0,223041903
101,26,26000,200001026,0,0,223041903
101,27,28000,200001027,0,0,223041903
101,28,30000,200001028,0,0,223041903
101,29,32000,200001029,0,0,223041903
101,30,34000,200001030,0,0,223041903
101,31,36000,200001031,0,0,223041903
101,32,38000,200001032,0,0,223041903
101,33,40000,200001033,0,0,223041903
101,34,42000,200001034,0,0,223041903
101,35,44000,200001035,0,0,223041903
101,36,46000,200001036,0,0,223041903
101,37,48000,200001037,0,0,223041903
101,38,50000,200001038,0,0,223041903
101,39,52000,200001039,0,0,223041903
101,40,54000,200001040,0,0,223041903
101,41,56000,200001041,0,0,223041903
101,42,58000,200001042,0,0,223041903
101,43,60000,200001043,0,0,223041903
101,44,62000,200001044,0,0,223041903
101,45,64000,200001045,0,0,223041903
101,46,66000,200001046,0,0,223041903
101,47,68000,200001047,0,0,223041903
101,48,70000,200001048,0,0,223041903
101,49,72000,200001049,0,0,223041903
101,50,74000,200001050,0,0,223041903
101,51,76000,200001051,0,0,223041903
101,52,78000,200001052,0,0,223041903
101,53,80000,200001053,0,0,223041903
101,54,82000,200001054,0,0,223041903
101,55,84000,200001055,0,0,223041903
101,56,86000,200001056,0,0,223041903
101,57,88000,200001057,0,0,223041903
101,58,90000,200001058,0,0,223041903
101,59,92000,200001059,0,0,223041903
101,60,94000,200001060,0,0,223041903
